type, faces added, faces in hull, input vertices, points processed, distance queries, vertices in hull, time spent
QuickHull, 29684, 9996, 5000, 5000, 35782, 5000, 2.993591, On Normalized Sphere
QuickHull, 237, 96, 5000, 51, 7842, 50, 0.021593, Many internal, some on sphere
QuickHull, 249, 96, 5000, 52, 7317, 50, 0.020956, Many internal, some on sphere
QuickHull, 243, 96, 5000, 52, 8505, 50, 0.019097, Many internal, some on sphere
QuickHull, 239, 96, 5000, 53, 9045, 50, 0.021230, Many internal, some on sphere
QuickHull, 313, 96, 5000, 65, 11407, 50, 0.024041, Many internal, some on sphere
QuickHull, 239, 96, 5000, 51, 8464, 50, 0.022415, Many internal, some on sphere
QuickHull, 270, 96, 5000, 61, 9223, 50, 0.023297, Many internal, some on sphere
QuickHull, 264, 96, 5000, 58, 7951, 50, 0.020314, Many internal, some on sphere
QuickHull, 6878, 1158, 5000, 1209, 20621, 581, 0.660426, Many internal, some on sphere
QuickHull, 6877, 1156, 5000, 1209, 20621, 580, 0.629637, Many internal, some on sphere
QuickHull, 16434, 2696, 17536, 2854, 65254, 1350, 1.637587, Many internal, some on sphere
QuickHull, 16434, 2696, 17536, 2854, 65254, 1350, 0.043590, Many internal, some on sphere
QuickHull, 274, 96, 500000, 64, 889131, 50, 0.143242, Many internal, some on sphere
QuickHull, 255, 96, 500000, 55, 849642, 50, 0.207453, Many internal, some on sphere
QuickHull, 253, 96, 10000, 57, 20737, 50, 0.025648, Many internal, some on sphere
QuickHull, 235, 96, 300, 50, 566, 50, 0.018385, Many internal, some on sphere
QuickHull, 243, 96, 300, 50, 522, 50, 0.019482, Many internal, some on sphere
QuickHull, 238, 96, 300, 51, 633, 50, 0.200412, Many internal, some on sphere
QuickHull, 2, 2, 3, 4, 0, 3, 0.000307, Many internal, some on sphere
QuickHull, 2, 2, 3, 4, 0, 3, 0.000209, Many internal, some on sphere
QuickHull, 2, 2, 3, 4, 0, 3, 0.000182, Many internal, some on sphere
QuickHull, 2, 2, 3, 4, 0, 3, 0.000201, Many internal, some on sphere
QuickHull, 2, 2, 3, 4, 0, 3, 0.000404, Many internal, some on sphere
QuickHull, 2, 2, 3, 4, 0, 3, 0.000183, Many internal, some on sphere
QuickHull, 2, 2, 3, 4, 0, 3, 0.000244, Many internal, some on sphere
QuickHull, 2, 2, 3, 4, 0, 3, 0.000210, Many internal, some on sphere
QuickHull, 2, 2, 3, 4, 0, 3, 0.000184, Many internal, some on sphere
QuickHull, 2, 2, 3, 4, 0, 3, 0.000263, Many internal, some on sphere
QuickHull, 222, 92, 100, 48, 260, 48, 0.022738, Many internal, some on sphere
QuickHull, 233, 92, 10000, 50, 21453, 48, 0.037275, Many internal, some on sphere
QuickHull, 29679, 9996, 5000, 5000, 35271, 5000, 4.199053, On Normalized Sphere
QuickHull, 29615, 9996, 5000, 5000, 36728, 5000, 4.225025, On Normalized Sphere
QuickHull, 29606, 9996, 5000, 5000, 35168, 5000, 0.184364, On Normalized Sphere
QuickHull, 29674, 9996, 5000, 5000, 36775, 5000, 0.185166, On Normalized Sphere
QuickHull, 29594, 9996, 5000, 5000, 36750, 5000, 0.184345, On Normalized Sphere
QuickHull, 29497, 9996, 5000, 5000, 37343, 5000, 0.185216, On Normalized Sphere
QuickHull, 29578, 9996, 5000, 5000, 36200, 5000, 0.182068, On Normalized Sphere
QuickHull, 29760, 9996, 5000, 5000, 36085, 5000, 0.184319, On Normalized Sphere
QuickHull, 1887, 358, 5000, 372, 13766, 181, 0.007531, In Sphere
QuickHull, 1888, 334, 5000, 380, 12175, 169, 0.006459, In Sphere
QuickHull, 1905, 336, 5000, 384, 13444, 170, 0.006295, In Sphere
QuickHull, 29312, 9996, 5000, 5000, 35264, 5000, 0.183232, On Sphere
QuickHull, 29608, 9996, 5000, 5000, 35717, 5000, 0.183368, On Sphere
QuickHull, 29428, 9996, 5000, 5002, 36599, 4998, 0.182582, On Normalized Sphere
QuickHull, 29670, 9996, 5000, 5000, 36025, 5000, 0.184179, On Normalized Sphere
QuickHull, 29844, 9996, 5000, 5000, 36356, 5000, 0.184140, On Normalized Sphere
QuickHull, 29605, 9996, 5000, 5000, 37699, 5000, 0.186638, On Normalized Sphere
QuickHull, 29921, 9996, 5000, 5000, 36248, 5000, 0.184318, On Normalized Sphere
QuickHull, 29754, 10000, 5000, 5002, 34274, 5000, 0.184019, On Normalized Sphere
QuickHull, 29417, 9998, 5000, 5001, 36087, 5000, 0.182409, On Normalized Sphere
QuickHull, 29595, 9996, 5000, 5000, 35376, 5000, 0.184463, On Normalized Sphere
QuickHull, 29602, 9996, 5000, 5000, 36371, 5000, 0.183353, On Normalized Sphere
QuickHull, 4, 4, 5, 4, 2, 4, 0.000406, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000982, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000986, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.001373, In Sphere
QuickHull, 4, 4, 5, 4, 2, 4, 0.000311, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001007, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000998, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000884, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000943, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.001151, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001007, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000985, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.001142, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000359, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000895, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000821, In Sphere
QuickHull, 4, 4, 5, 4, 2, 4, 0.000470, In Sphere
QuickHull, 4, 4, 5, 4, 2, 4, 0.000504, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.001419, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000737, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001066, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001112, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.001089, In Sphere
QuickHull, 4, 4, 5, 4, 2, 4, 0.000497, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000756, In Sphere
QuickHull, 4, 4, 5, 4, 2, 4, 0.000468, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001172, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000840, In Sphere
QuickHull, 4, 4, 5, 4, 2, 4, 0.000411, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000853, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000970, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000727, In Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000695, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000559, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001200, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000917, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000980, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000805, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000986, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001178, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000885, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.001089, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.001315, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000916, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.001032, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000536, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.001312, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000489, On Normalized Sphere
QuickHull, 8, 6, 5, 5, 3, 5, 0.000887, On Normalized Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000548, On Normalized Sphere
QuickHull, 1730, 338, 5000, 339, 13811, 171, 0.156886, In Sphere
QuickHull, 1901, 356, 5000, 380, 13805, 180, 0.160637, In Sphere
QuickHull, 1986, 370, 5000, 388, 13956, 187, 0.189996, In Sphere
QuickHull, 1806, 348, 5000, 366, 11943, 176, 0.158427, In Sphere
QuickHull, 1876, 344, 5000, 376, 12222, 174, 0.169125, In Sphere
QuickHull, 2187, 362, 5000, 429, 13561, 183, 0.201164, In Sphere
QuickHull, 7, 6, 5, 5, 3, 5, 0.000879, In Sphere
QuickHull, 4, 4, 5, 4, 2, 4, 0.000540, In Sphere
QuickHull, 2872, 506, 10000, 553, 24772, 255, 0.244864, In Sphere
QuickHull, 2872, 506, 10000, 553, 24772, 255, 0.247656, In Sphere
QuickHull, 11587, 1566, 100000, 2244, 237474, 785, 1.375921, In Sphere
QuickHull, 11587, 1566, 100000, 2244, 237474, 785, 1.670038, In Sphere
QuickHull, 3579, 372, 100000, 744, 263710, 188, 0.590485, In Cube
QuickHull, 60139, 20000, 10000, 10002, 79697, 10000, 7.313159, On Normalized Sphere
QuickHull, 60139, 20000, 10000, 10002, 79697, 10000, 0.480527, On Normalized Sphere
QuickHull, 245, 92, 100000, 53, 142695, 48, 0.150866, Many internal, some on sphere
QuickHull, 2872, 506, 10000, 553, 24772, 255, 0.269343, In Sphere
QuickHull, 15, 8, 10, 7, 13, 6, 0.000486, In Sphere
QuickHull, 11587, 1566, 100000, 2244, 237474, 785, 0.098479, In Sphere
QuickHull, 11587, 1566, 100000, 2244, 237474, 785, 1.613597, In Sphere
